iter	Logloss
0	0.6835400021
1	0.6741877295
2	0.6651239064
3	0.656135128
4	0.6472699361
5	0.6386213525
6	0.6304617981
7	0.6220834282
8	0.6140619985
9	0.6060186776
10	0.598320813
11	0.5906709785
12	0.583135997
13	0.5756053857
14	0.5685140229
15	0.5612321253
16	0.5541883323
17	0.5473520889
18	0.5406117057
19	0.5339224186
20	0.5273826107
21	0.5209835909
22	0.5148479577
23	0.5084952432
24	0.5023382744
25	0.4962605898
26	0.4901458312
27	0.4843195631
28	0.4783960518
29	0.4727420618
30	0.467085288
31	0.4614921589
32	0.455982969
33	0.4506090477
34	0.4452590694
35	0.4403999658
36	0.4352718854
37	0.4301815898
38	0.4252629454
39	0.4204145252
40	0.4155989039
41	0.410712063
42	0.4059529155
43	0.4012746673
44	0.3966834548
45	0.3922496061
46	0.3878135609
47	0.3833452759
48	0.3790404311
49	0.3748849416
50	0.3706664714
51	0.36652722
52	0.3624247523
53	0.3582993699
54	0.3542321406
55	0.350384785
56	0.3465021965
57	0.342750276
58	0.3389182405
59	0.3352770162
60	0.3317669353
61	0.3281498662
62	0.3244939459
63	0.3209796223
64	0.3174197315
65	0.3140768297
66	0.3108718428
67	0.3076404174
68	0.30429517
69	0.3010433794
70	0.2980006093
71	0.2948126885
72	0.2916939634
73	0.2885017535
74	0.2853785869
75	0.282374508
76	0.2794422879
77	0.2764899194
78	0.2735625907
79	0.270678073
80	0.2678607594
81	0.2650797397
82	0.2623844765
83	0.2595719566
84	0.2569297014
85	0.2542287405
86	0.2515564888
87	0.24890876
88	0.2464475393
89	0.2438430532
90	0.2413552343
91	0.2388353732
92	0.2364933328
93	0.2340786774
94	0.231761261
95	0.2294121111
96	0.2270528231
97	0.2248163044
98	0.2225330363
99	0.2202332747
